FAM10943-i1-1.1_000040,NA,pyrimidine-nucleoside phosphorylase
FAM10943-i1-1.1_000041,NA,phosphopentomutase
FAM10943-i1-1.1_000042,deoC,deoxyribose-phosphate aldolase
FAM10943-i1-1.1_000043,NA,DUF1129 domain-containing protein
FAM10943-i1-1.1_000044,ychF,redox-regulated ATPase YchF
FAM10943-i1-1.1_000045,NA,DUF951 domain-containing protein
FAM10943-i1-1.1_000046,NA,ParB/RepB/Spo0J family partition protein
FAM10943-i1-1.1_000047,NA,ParA family protein
FAM10943-i1-1.1_000048,NA,nucleoid occlusion protein
FAM10943-i1-1.1_000049,rsmG,16S rRNA (guanine(527)-N(7))-methyltransferase RsmG
FAM10943-i1-1.1_000745,NA,hypothetical protein
FAM10943-i1-1.1_000746,NA,hypothetical protein
FAM10943-i1-1.1_000747,NA,alpha-amylase
FAM10943-i1-1.1_000748,NA,hypothetical protein
FAM10943-i1-1.1_000749,NA,hypothetical protein
FAM10943-i1-1.1_000750,NA,hypothetical protein
FAM10943-i1-1.1_000751,NA,hypothetical protein
FAM10943-i1-1.1_000752,NA,gametolysin
FAM10943-i1-1.1_000754,NA,YjzD family protein
FAM10943-i1-1.1_000755,dnaE,DNA polymerase III subunit alpha
FAM10943-i1-1.1_000756,pyk,pyruvate kinase
FAM10943-i1-1.1_000757,NA,DNA-binding protein
FAM10943-i1-1.1_000758,NA,tyrosine-type recombinase/integrase
FAM10943-i1-1.1_000759,NA,reductase
FAM10943-i1-1.1_000760,NA,segregation/condensation protein A
FAM10943-i1-1.1_000761,scpB,SMC-Scp complex subunit ScpB
FAM10943-i1-1.1_000762,NA,rRNA pseudouridine synthase
FAM10943-i1-1.1_000763,NA,ECF transporter S component
FAM10943-i1-1.1_000764,NA,helix-turn-helix domain-containing protein
FAM10943-i1-1.1_000765,NA,ATP-dependent DNA helicase RecQ
FAM10943-i1-1.1_000766,NA,LysM domain-containing protein
FAM10943-i1-1.1_000767,NA,(d)CMP kinase
FAM10943-i1-1.1_000768,rpsA,30S ribosomal protein S1
FAM10943-i1-1.1_000769,der,ribosome biogenesis GTPase Der
FAM10943-i1-1.1_000770,NA,HU family DNA-binding protein
FAM10943-i1-1.1_000771,NA,tetratricopeptide repeat protein
FAM10943-i1-1.1_000772,NA,CCA tRNA nucleotidyltransferase
FAM10943-i1-1.1_000773,NA,ABC-F family ATP-binding cassette domain-containing protein
FAM10943-i1-1.1_000774,NA,thymidylate synthase
FAM10943-i1-1.1_000775,NA,dihydrofolate reductase
FAM10943-i1-1.1_000776,NA,hemolysin III family protein
FAM10943-i1-1.1_000777,NA,DegV family protein
FAM10943-i1-1.1_000778,NA,SGNH/GDSL hydrolase family protein
FAM10943-i1-1.1_000779,NA,YpmS family protein
FAM10943-i1-1.1_000780,NA,YozE family protein
FAM10943-i1-1.1_000781,ylqF,ribosome biogenesis GTPase YlqF
FAM10943-i1-1.1_000782,NA,ribonuclease HII
FAM10943-i1-1.1_000783,dprA,DNA-protecting protein DprA
FAM10943-i1-1.1_000784,topA,type I DNA topoisomerase
FAM10943-i1-1.1_000785,NA,aldose 1-epimerase family protein
FAM10943-i1-1.1_000786,NA,glycerol-3-phosphate acyltransferase
FAM10943-i1-1.1_000787,parE,DNA topoisomerase IV subunit B
FAM10943-i1-1.1_000788,parC,DNA topoisomerase IV subunit A
FAM10943-i1-1.1_000789,NA,NUDIX hydrolase
FAM10943-i1-1.1_000790,NA,manganese-dependent inorganic pyrophosphatase
FAM10943-i1-1.1_000791,NA,iron-sulfur cluster biosynthesis family protein
FAM10943-i1-1.1_000792,NA,hypothetical protein
FAM10943-i1-1.1_000793,NA,hypothetical protein
FAM10943-i1-1.1_000794,NA,N-acetyltransferase
FAM10943-i1-1.1_000795,NA,Asp23/Gls24 family envelope stress response protein
FAM10943-i1-1.1_000796,NA,hypothetical protein
FAM10943-i1-1.1_000797,amaP,alkaline shock response membrane anchor protein AmaP
FAM10943-i1-1.1_000798,NA,gluconokinase
FAM10943-i1-1.1_000799,NA,LacI family DNA-binding transcriptional regulator
FAM10943-i1-1.1_001187,NA,hypothetical protein
FAM10943-i1-1.1_001188,ccpA,catabolite control protein A
FAM10943-i1-1.1_001189,NA,aminopeptidase P family protein
FAM10943-i1-1.1_001190,NA,hypothetical protein
FAM10943-i1-1.1_001191,NA,DUF948 domain-containing protein
FAM10943-i1-1.1_001192,NA,mechanosensitive ion channel family protein
FAM10943-i1-1.1_001193,NA,HAD family phosphatase
FAM10943-i1-1.1_001194,NA,CBS domain-containing protein
FAM10943-i1-1.1_001195,NA,metallophosphoesterase
FAM10943-i1-1.1_001196,NA,XTP/dITP diphosphatase
FAM10943-i1-1.1_001197,murI,glutamate racemase
FAM10943-i1-1.1_001198,NA,YslB family protein
FAM10943-i1-1.1_001199,trxA,thioredoxin
FAM10943-i1-1.1_001200,NA,endonuclease MutS2
FAM10943-i1-1.1_001201,NA,CvpA family protein
FAM10943-i1-1.1_001202,NA,DUF1292 domain-containing protein
FAM10943-i1-1.1_001203,ruvX,Holliday junction resolvase RuvX
FAM10943-i1-1.1_001204,NA,IreB family regulatory phosphoprotein
FAM10943-i1-1.1_001205,alaS,alanine--tRNA ligase
FAM10943-i1-1.1_001206,NA,DEAD/DEAH box helicase
FAM10943-i1-1.1_001207,NA,bifunctional oligoribonuclease/PAP phosphatase NrnA
FAM10943-i1-1.1_001208,yajC,preprotein translocase subunit YajC
FAM10943-i1-1.1_001209,NA,tRNA-guanine transglycosylase
FAM10943-i1-1.1_001210,ruvB,Holliday junction branch migration DNA helicase RuvB
FAM10943-i1-1.1_001211,ruvA,Holliday junction branch migration protein RuvA
FAM10943-i1-1.1_001212,mutL,DNA mismatch repair endonuclease MutL
FAM10943-i1-1.1_001213,mutS,DNA mismatch repair protein MutS
FAM10943-i1-1.1_001214,rny,ribonuclease Y
FAM10943-i1-1.1_001215,recA,recombinase RecA
FAM10943-i1-1.1_001216,NA,competence/damage-inducible protein A
FAM10943-i1-1.1_001217,pgsA,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
FAM10943-i1-1.1_001218,NA,helix-turn-helix domain-containing protein
FAM10943-i1-1.1_001219,NA,insulinase family protein
FAM10943-i1-1.1_001220,NA,insulinase family protein
FAM10943-i1-1.1_001221,NA,amino acid ABC transporter substrate-binding protein
FAM10943-i1-1.1_001222,NA,amino acid ABC transporter ATP-binding protein
FAM10943-i1-1.1_001223,NA,amino acid ABC transporter permease
FAM10943-i1-1.1_001224,mreD,rod shape-determining protein MreD
FAM10943-i1-1.1_001225,mreC,rod shape-determining protein MreC
FAM10943-i1-1.1_001226,NA,rod shape-determining protein
FAM10943-i1-1.1_001227,NA,JAB domain-containing protein
FAM10943-i1-1.1_001228,NA,bifunctional folylpolyglutamate synthase/dihydrofolate synthase
FAM10943-i1-1.1_001229,NA,NAD(P)/FAD-dependent oxidoreductase
FAM10943-i1-1.1_001230,cydC,thiol reductant ABC exporter subunit CydC
FAM10943-i1-1.1_001231,cydD,thiol reductant ABC exporter subunit CydD
FAM10943-i1-1.1_001232,cydB,cytochrome d ubiquinol oxidase subunit II
FAM10943-i1-1.1_001233,NA,cytochrome ubiquinol oxidase subunit I
FAM10943-i1-1.1_001467,NA,IS3 family transposase
FAM10943-i1-1.1_001468,NA,hypothetical protein
FAM10943-i1-1.1_001469,NA,PD-(D/E)XK nuclease family transposase
FAM10943-i1-1.1_001470,NA,hypothetical protein
FAM10943-i1-1.1_001471,NA,PD-(D/E)XK nuclease family transposase
FAM10943-i1-1.1_001472,NA,transposase
FAM10943-i1-1.1_001473,NA,Rpn family recombination-promoting nuclease/putative transposase
FAM10943-i1-1.1_001474,NA,HAD-IA family hydrolase
FAM10943-i1-1.1_001475,NA,APC family permease
FAM10943-i1-1.1_001476,NA,DNA starvation/stationary phase protection protein
FAM10943-i1-1.1_001477,NA,HAD-IC family P-type ATPase
FAM10943-i1-1.1_001478,NA,proline-specific peptidase family protein
FAM10943-i1-1.1_001479,NA,Xaa-Pro dipeptidyl-peptidase
FAM10943-i1-1.1_001480,NA,ABC transporter ATP-binding protein
FAM10943-i1-1.1_001481,NA,ABC transporter permease
FAM10943-i1-1.1_001482,NA,ABC transporter permease
FAM10943-i1-1.1_001483,NA,ABC transporter substrate-binding protein
FAM10943-i1-1.1_001484,NA,hypothetical protein
FAM10943-i1-1.1_001485,NA,amino acid permease
FAM10943-i1-1.1_001486,NA,NUDIX domain-containing protein
FAM10943-i1-1.1_001487,NA,guanylate kinase
FAM10943-i1-1.1_001488,NA,transcriptional repressor
FAM10943-i1-1.1_001489,NA,hypothetical protein
FAM10943-i1-1.1_001490,NA,hypothetical protein
FAM10943-i1-1.1_001491,NA,PspC domain-containing protein
FAM10943-i1-1.1_001492,NA,TetR/AcrR family transcriptional regulator
FAM10943-i1-1.1_001493,NA,YhgE/Pip domain-containing protein
FAM10943-i1-1.1_001494,NA,D-2-hydroxyacid dehydrogenase
FAM10943-i1-1.1_001495,NA,CsbD family protein
FAM10943-i1-1.1_001496,NA,GlsB/YeaQ/YmgE family stress response membrane protein
FAM10943-i1-1.1_001497,hflX,GTPase HflX
FAM10943-i1-1.1_001498,NA,histidine phosphatase family protein
FAM10943-i1-1.1_001499,NA,VTT domain-containing protein
FAM10943-i1-1.1_001500,NA,ATP-binding domain-containing protein
FAM10943-i1-1.1_001501,NA,FAD-dependent oxidoreductase
FAM10943-i1-1.1_001502,NA,FAD-dependent oxidoreductase
FAM10943-i1-1.1_001503,NA,DMT family transporter
FAM10943-i1-1.1_001504,NA,LTA synthase family protein
FAM10943-i1-1.1_001505,NA,type I pantothenate kinase
FAM10943-i1-1.1_001506,NA,ATP-binding protein
FAM10943-i1-1.1_001507,guaA,glutamine-hydrolyzing GMP synthase
FAM10943-i1-1.1_001508,NA,OFA family MFS transporter
FAM10943-i1-1.1_001509,NA,RNA methyltransferase
FAM10943-i1-1.1_001510,NA,TIGR01440 family protein
FAM10943-i1-1.1_001511,NA,ISLre2-like element ISLre2 family transposase
FAM10943-i1-1.1_001655,NA,amino acid permease
FAM10943-i1-1.1_001656,eno,phosphopyruvate hydratase
FAM10943-i1-1.1_001657,NA,triose-phosphate isomerase
FAM10943-i1-1.1_001658,NA,phosphoglycerate kinase
FAM10943-i1-1.1_001659,gap,type I glyceraldehyde-3-phosphate dehydrogenase
FAM10943-i1-1.1_001661,NA,IS1182 family transposase
FAM10943-i1-1.1_001662,clpP,ATP-dependent Clp endopeptidase proteolytic subunit ClpP
FAM10943-i1-1.1_001663,NA,MFS transporter
FAM10943-i1-1.1_001664,whiA,DNA-binding protein WhiA
FAM10943-i1-1.1_001665,yvcK,uridine diphosphate-N-acetylglucosamine-binding protein YvcK
FAM10943-i1-1.1_001666,rapZ,RNase adapter RapZ
FAM10943-i1-1.1_001667,NA,amino acid permease
FAM10943-i1-1.1_001668,uvrA,excinuclease ABC subunit UvrA
FAM10943-i1-1.1_001669,uvrB,excinuclease ABC subunit UvrB
FAM10943-i1-1.1_001670,NA,hypothetical protein
FAM10943-i1-1.1_001671,NA,HD domain-containing protein
FAM10943-i1-1.1_001672,NA,phospho-sugar mutase
FAM10943-i1-1.1_001673,NA,acyl-CoA thioesterase
FAM10943-i1-1.1_001674,NA,amino acid ABC transporter substrate-binding protein
FAM10943-i1-1.1_001675,NA,ArgE/DapE family deacylase
FAM10943-i1-1.1_001676,trxB,thioredoxin-disulfide reductase
FAM10943-i1-1.1_001677,NA,(Fe-S)-binding protein
FAM10943-i1-1.1_001678,NA,iron-sulfur cluster-binding protein
FAM10943-i1-1.1_001679,NA,lactate utilization protein C
FAM10943-i1-1.1_001680,galU,UTP--glucose-1-phosphate uridylyltransferase GalU
FAM10943-i1-1.1_001681,NA,NAD(P)H-dependent glycerol-3-phosphate dehydrogenase
FAM10943-i1-1.1_001682,NA,prolipoprotein diacylglyceryl transferase
FAM10943-i1-1.1_001683,NA,HPr kinase/phosphorylase
FAM10943-i1-1.1_001684,NA,phage holin family protein
FAM10943-i1-1.1_001685,NA,PspC domain-containing protein
FAM10943-i1-1.1_001686,prfB,peptide chain release factor 2
FAM10943-i1-1.1_001686,prfB,peptide chain release factor 2
FAM10943-i1-1.1_001687,secA,preprotein translocase subunit SecA
FAM10943-i1-1.1_001688,raiA,ribosome-associated translation inhibitor RaiA
FAM10943-i1-1.1_001689,NA,ComF family protein
FAM10943-i1-1.1_001690,NA,DNA/RNA helicase
FAM10943-i1-1.1_001691,NA,YigZ family protein
FAM10943-i1-1.1_001692,NA,MFS transporter
FAM10943-i1-1.1_001693,NA,MarR family transcriptional regulator
FAM10943-i1-1.1_001694,NA,RNA-directed DNA polymerase
FAM10943-i1-1.1_001826,NA,aspartate-semialdehyde dehydrogenase
FAM10943-i1-1.1_001827,NA,aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme
FAM10943-i1-1.1_001828,NA,4-hydroxy-tetrahydrodipicolinate reductase
FAM10943-i1-1.1_001829,dapA,4-hydroxy-tetrahydrodipicolinate synthase
FAM10943-i1-1.1_001830,NA,N-acetyldiaminopimelate deacetylase
FAM10943-i1-1.1_001831,dapD,2%2C3%2C4%2C5-tetrahydropyridine-2%2C6-dicarboxylate N-acetyltransferase
FAM10943-i1-1.1_001832,lysA,diaminopimelate decarboxylase
FAM10943-i1-1.1_001833,NA,aspartate kinase
FAM10943-i1-1.1_001834,NA,diaminopimelate epimerase
FAM10943-i1-1.1_001835,NA,ribose-phosphate diphosphokinase
FAM10943-i1-1.1_001836,NA,ATP-dependent RecD-like DNA helicase
FAM10943-i1-1.1_001837,NA,tetratricopeptide repeat protein
FAM10943-i1-1.1_001838,NA,histidine phosphatase family protein
FAM10943-i1-1.1_001839,mnmA,tRNA 2-thiouridine(34) synthase MnmA
FAM10943-i1-1.1_001840,NA,DUF1831 domain-containing protein
FAM10943-i1-1.1_001841,NA,cysteine desulfurase
FAM10943-i1-1.1_001842,NA,5'-methylthioadenosine/adenosylhomocysteine nucleosidase
FAM10943-i1-1.1_001843,NA,hypothetical protein
FAM10943-i1-1.1_001844,NA,NUDIX hydrolase
FAM10943-i1-1.1_001845,NA,cold shock domain-containing protein
FAM10943-i1-1.1_001846,ileS,isoleucine--tRNA ligase
FAM10943-i1-1.1_001847,NA,DivIVA domain-containing protein
FAM10943-i1-1.1_001848,NA,RNA-binding protein
FAM10943-i1-1.1_001849,NA,YggT family protein
FAM10943-i1-1.1_001850,sepF,cell division protein SepF
FAM10943-i1-1.1_001851,ftsZ,cell division protein FtsZ
FAM10943-i1-1.1_001852,ftsA,cell division protein FtsA
FAM10943-i1-1.1_001853,NA,FtsQ-type POTRA domain-containing protein
FAM10943-i1-1.1_001854,murG,undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase
FAM10943-i1-1.1_001855,NA,UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase
FAM10943-i1-1.1_001856,NA,phospho-N-acetylmuramoyl-pentapeptide-transferase
FAM10943-i1-1.1_001857,NA,penicillin-binding protein
FAM10943-i1-1.1_001858,ftsL,cell division protein FtsL
FAM10943-i1-1.1_001859,rsmH,16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH
FAM10943-i1-1.1_001860,mraZ,division/cell wall cluster transcriptional repressor MraZ
FAM10943-i1-1.1_001861,NA,hypothetical protein
FAM10943-i1-1.1_001862,NA,DUF4044 domain-containing protein
FAM10943-i1-1.1_001863,NA,DNA translocase FtsK
FAM10943-i1-1.1_001864,trmL,tRNA (uridine(34)/cytosine(34)/5-carboxymethylaminomethyluridine(34)-2'-O)-methyltransferase TrmL
FAM10943-i1-1.1_001865,NA,methyltransferase domain-containing protein
FAM10943-i1-1.1_001866,NA,lactonase family protein
FAM10943-i1-1.1_001989,NA,YggS family pyridoxal phosphate-dependent enzyme
FAM10943-i1-1.1_001990,NA,aminopeptidase P family protein
FAM10943-i1-1.1_001991,NA,hypothetical protein
FAM10943-i1-1.1_001992,NA,Asp23/Gls24 family envelope stress response protein
FAM10943-i1-1.1_001993,nusB,transcription antitermination factor NusB
FAM10943-i1-1.1_001994,NA,bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase
FAM10943-i1-1.1_001995,NA,exodeoxyribonuclease VII large subunit
FAM10943-i1-1.1_001996,NA,exodeoxyribonuclease VII small subunit
FAM10943-i1-1.1_001997,NA,polyprenyl synthetase family protein
FAM10943-i1-1.1_001998,NA,TlyA family RNA methyltransferase
FAM10943-i1-1.1_001999,NA,ArgR family transcriptional regulator
FAM10943-i1-1.1_002000,recN,DNA repair protein RecN
FAM10943-i1-1.1_002001,NA,hypothetical protein
FAM10943-i1-1.1_002002,gmk,guanylate kinase
FAM10943-i1-1.1_002003,NA,DNA-directed RNA polymerase subunit omega
FAM10943-i1-1.1_002004,coaBC,bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC
FAM10943-i1-1.1_002005,priA,primosomal protein N'
FAM10943-i1-1.1_002006,NA,methionyl-tRNA formyltransferase
FAM10943-i1-1.1_002007,rsmB,16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB
FAM10943-i1-1.1_002008,NA,Stp1/IreP family PP2C-type Ser/Thr phosphatase
FAM10943-i1-1.1_002009,pknB,Stk1 family PASTA domain-containing Ser/Thr kinase
FAM10943-i1-1.1_002010,rsgA,ribosome small subunit-dependent GTPase A
FAM10943-i1-1.1_002011,NA,ribulose-phosphate 3-epimerase
FAM10943-i1-1.1_002012,NA,thiamine diphosphokinase
FAM10943-i1-1.1_002013,NA,50S ribosomal protein L28
FAM10943-i1-1.1_002014,NA,Asp23/Gls24 family envelope stress response protein
FAM10943-i1-1.1_002015,NA,DAK2 domain-containing protein
FAM10943-i1-1.1_002016,recG,ATP-dependent DNA helicase RecG
FAM10943-i1-1.1_002017,plsX,phosphate acyltransferase PlsX
FAM10943-i1-1.1_002018,acpP,acyl carrier protein
FAM10943-i1-1.1_002019,NA,ribonuclease III
FAM10943-i1-1.1_002020,smc,chromosome segregation protein SMC
FAM10943-i1-1.1_002021,ftsY,signal recognition particle-docking protein FtsY
FAM10943-i1-1.1_002022,NA,putative DNA-binding protein
FAM10943-i1-1.1_002023,ffh,signal recognition particle protein
FAM10943-i1-1.1_002024,rpsP,30S ribosomal protein S16
FAM10943-i1-1.1_002025,NA,KH domain-containing protein
FAM10943-i1-1.1_002026,rimM,ribosome maturation factor RimM
FAM10943-i1-1.1_002027,trmD,tRNA (guanosine(37)-N1)-methyltransferase TrmD
FAM10943-i1-1.1_002028,NA,amino acid permease
FAM10943-i1-1.1_002029,rplS,50S ribosomal protein L19
FAM10943-i1-1.1_002139,NA,transposase
FAM10943-i1-1.1_002140,NA,hypothetical protein
FAM10943-i1-1.1_002141,NA,ribose-phosphate diphosphokinase
FAM10943-i1-1.1_002142,glmU,bifunctional UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase GlmU
FAM10943-i1-1.1_002143,purR,pur operon repressor
FAM10943-i1-1.1_002144,NA,metal ABC transporter permease
FAM10943-i1-1.1_002145,NA,ATP-binding cassette domain-containing protein
FAM10943-i1-1.1_002146,NA,zinc ABC transporter substrate-binding protein
FAM10943-i1-1.1_002147,NA,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase
FAM10943-i1-1.1_002148,NA,Veg family protein
FAM10943-i1-1.1_002149,rsmA,16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase RsmA
FAM10943-i1-1.1_002150,rnmV,ribonuclease M5
FAM10943-i1-1.1_002151,NA,TatD family hydrolase
FAM10943-i1-1.1_002152,metG,methionine--tRNA ligase
FAM10943-i1-1.1_002153,NA,DUF72 domain-containing protein
FAM10943-i1-1.1_002154,NA,NAD-dependent protein deacylase
FAM10943-i1-1.1_002155,NA,IpaB/EvcA family protein
FAM10943-i1-1.1_002156,NA,hydroxymethylglutaryl-CoA reductase%2C degradative
FAM10943-i1-1.1_002157,NA,Ppx/GppA family phosphatase
FAM10943-i1-1.1_002158,trpS,tryptophan--tRNA ligase
FAM10943-i1-1.1_002159,NA,site-specific DNA-methyltransferase
FAM10943-i1-1.1_002160,ndk,nucleoside-diphosphate kinase
FAM10943-i1-1.1_002161,NA,AAA family ATPase
FAM10943-i1-1.1_002162,NA,cation:proton antiporter
FAM10943-i1-1.1_002164,NA,aspartate aminotransferase family protein
FAM10943-i1-1.1_002165,NA,amino acid permease
FAM10943-i1-1.1_002166,nth,endonuclease III
FAM10943-i1-1.1_002167,NA,FMN-binding protein
FAM10943-i1-1.1_002168,NA,tetracycline resistance MFS efflux pump
FAM10943-i1-1.1_002169,NA,L-lactate dehydrogenase
FAM10943-i1-1.1_002170,NA,MetQ/NlpA family ABC transporter substrate-binding protein
FAM10943-i1-1.1_002171,NA,methionine ABC transporter ATP-binding protein
FAM10943-i1-1.1_002172,NA,ABC transporter permease
FAM10943-i1-1.1_002173,NA,ArgE/DapE family deacylase
FAM10943-i1-1.1_002174,NA,ClC family H(+)/Cl(-) exchange transporter
FAM10943-i1-1.1_002175,msrB,peptide-methionine (R)-S-oxide reductase MsrB
FAM10943-i1-1.1_002176,NA,ABC transporter permease
FAM10943-i1-1.1_002177,NA,ABC transporter ATP-binding protein
FAM10943-i1-1.1_002178,NA,ABC transporter permease
FAM10943-i1-1.1_002276,NA,ABC-F family ATP-binding cassette domain-containing protein
FAM10943-i1-1.1_002277,NA,putative ABC transporter permease
FAM10943-i1-1.1_002278,NA,glycoside hydrolase family 73 protein
FAM10943-i1-1.1_002279,brnQ,branched-chain amino acid transport system II carrier protein
FAM10943-i1-1.1_002280,NA,DUF2325 domain-containing protein
FAM10943-i1-1.1_002281,NA,phosphoesterase
FAM10943-i1-1.1_002282,NA,hypothetical protein
FAM10943-i1-1.1_002283,NA,Rpn family recombination-promoting nuclease/putative transposase
FAM10943-i1-1.1_002284,NA,hypothetical protein
FAM10943-i1-1.1_002285,NA,hypothetical protein
FAM10943-i1-1.1_002286,NA,NAD(P)H-dependent oxidoreductase
FAM10943-i1-1.1_002287,NA,hypothetical protein
FAM10943-i1-1.1_002288,NA,DUF488 family protein
FAM10943-i1-1.1_002289,NA,DNA-3-methyladenine glycosylase
FAM10943-i1-1.1_002290,NA,AAA family ATPase
FAM10943-i1-1.1_002291,NA,peptidase
FAM10943-i1-1.1_002292,NA,hypothetical protein
FAM10943-i1-1.1_002293,NA,M13 family peptidase
FAM10943-i1-1.1_002294,NA,helix-turn-helix transcriptional regulator
FAM10943-i1-1.1_002295,NA,O-acetyl-ADP-ribose deacetylase
FAM10943-i1-1.1_002296,NA,MFS transporter
FAM10943-i1-1.1_002297,cls,cardiolipin synthase
FAM10943-i1-1.1_002298,cysK,cysteine synthase A
FAM10943-i1-1.1_002299,NA,homoserine O-succinyltransferase
FAM10943-i1-1.1_002300,NA,ABC transporter permease
FAM10943-i1-1.1_002301,NA,ABC transporter ATP-binding protein
FAM10943-i1-1.1_002302,NA,sensor histidine kinase
FAM10943-i1-1.1_002303,NA,response regulator transcription factor
FAM10943-i1-1.1_002304,NA,aldo/keto reductase
FAM10943-i1-1.1_002305,NA,nicotinamide mononucleotide transporter
FAM10943-i1-1.1_002306,greA,transcription elongation factor GreA
FAM10943-i1-1.1_002307,NA,hypothetical protein
FAM10943-i1-1.1_002308,NA,hypothetical protein
FAM10943-i1-1.1_002309,NA,hypothetical protein
FAM10943-i1-1.1_002310,NA,YbhB/YbcL family Raf kinase inhibitor-like protein
FAM10943-i1-1.1_002311,NA,tyrosine-protein phosphatase
FAM10943-i1-1.1_002312,NA,SGNH/GDSL hydrolase family protein
FAM10943-i1-1.1_002313,NA,galactokinase
FAM10943-i1-1.1_002314,NA,UDP-glucose--hexose-1-phosphate uridylyltransferase
FAM10943-i1-1.1_002315,NA,LacI family DNA-binding transcriptional regulator
FAM10943-i1-1.1_002316,NA,helix-turn-helix domain-containing protein
FAM10943-i1-1.1_000050,NA,transposase
FAM10943-i1-1.1_000051,NA,GNAT family N-acetyltransferase
FAM10943-i1-1.1_000052,NA,multidrug efflux MFS transporter
FAM10943-i1-1.1_000053,nrdD,anaerobic ribonucleoside-triphosphate reductase
FAM10943-i1-1.1_000054,nrdG,anaerobic ribonucleoside-triphosphate reductase activating protein
FAM10943-i1-1.1_000055,NA,hypothetical protein
FAM10943-i1-1.1_000056,NA,LysM peptidoglycan-binding domain-containing protein
FAM10943-i1-1.1_000057,NA,phosphoenolpyruvate carboxykinase
FAM10943-i1-1.1_000058,NA,LysM peptidoglycan-binding domain-containing protein
FAM10943-i1-1.1_000059,xth,exodeoxyribonuclease III
FAM10943-i1-1.1_000060,NA,NAD(P)-dependent oxidoreductase
FAM10943-i1-1.1_000061,preA,NAD-dependent dihydropyrimidine dehydrogenase subunit PreA
FAM10943-i1-1.1_000062,NA,aldo/keto reductase
FAM10943-i1-1.1_000063,NA,Hsp20/alpha crystallin family protein
