Orthogroup,sample,genes,gene_number
OG0001787,LWH7.1.2,LWH7-1.2_003448,3448
OG0001787,LWH7.1.2,LWH7-1.2_003450,3450
OG0002149,LWH7.1.2,LWH7-1.2_003464,3464
OG0002971,LWH7.1.2,LWH7-1.2_003465,3465
OG0002971,LWO12.1.2,LWO12-1.2_002440,2440
OG0002149,LWO12.1.2,LWO12-1.2_002442,2442
OG0001787,LWO12.1.2,LWO12-1.2_002443,2443
OG0002972,LWO12.1.2,LWO12-1.2_002448,2448
OG0002973,LWO12.1.2,LWO12-1.2_002449,2449
OG0002149,LWO12.1.2,LWO12-1.2_002457,2457
OG0001787,LWO12.1.2,LWO12-1.2_002460,2460
OG0001787,LWO13.1.2,LWO13-1.2_001684,1684
OG0002149,LWO13.1.2,LWO13-1.2_001688,1688
OG0002973,LWO13.1.2,LWO13-1.2_001699,1699
OG0002972,LWO13.1.2,LWO13-1.2_001700,1700
OG0001787,LWO13.1.2,LWO13-1.2_001705,1705
OG0002149,LWO13.1.2,LWO13-1.2_001706,1706
OG0002971,LWO13.1.2,LWO13-1.2_001708,1708
OG0001787,LWO14.1.2,LWO14-1.2_002446,2446
OG0002973,LWO14.1.2,LWO14-1.2_002449,2449
OG0002972,LWO14.1.2,LWO14-1.2_002450,2450
OG0001787,LWO14.1.2,LWO14-1.2_002455,2455
OG0002149,LWO14.1.2,LWO14-1.2_002456,2456
OG0002971,LWO14.1.2,LWO14-1.2_002458,2458
OG0002149,LWS13.1.2,LWS13-1.2_001868,1868
OG0002149,LWS13.1.2,LWS13-1.2_001873,1873
OG0002971,LWS13.1.2,LWS13-1.2_001874,1874
OG0001787,LWS13.1.2,LWS13-1.2_001875,1875
OG0001787,LWS13.1.2,LWS13-1.2_001908,1908
OG0001787,LWS13.1.2,LWS13-1.2_001910,1910
OG0002149,LWS13.1.2,LWS13-1.2_001912,1912
OG0002973,LWS13.1.2,LWS13-1.2_001927,1927
OG0002972,LWS13.1.2,LWS13-1.2_001928,1928
