gene,kmer_cluster,kmer_fisher_pvalue,kmer_fisher_qvalue,cluster_name_original,centroid
LMB2-1.2_000635,kmer_cluster_27,1,1,cluster.fasta10,centroid=LM3X-1.2_000475;seqs=15
LMX7-1.2_001220,kmer_cluster_27,1,1,cluster.fasta10,centroid=LM3X-1.2_000475;seqs=15
LBN7-1.2_000958,kmer_cluster_27,1,1,cluster.fasta10,centroid=LM3X-1.2_000475;seqs=15
LMI11-1-1.1_002382,kmer_cluster_27,1,1,cluster.fasta10,centroid=LM3X-1.2_000475;seqs=15
LMI13-1-1.1_002382,kmer_cluster_27,1,1,cluster.fasta10,centroid=LM3X-1.2_000475;seqs=15
LMS4-1.2_000753,kmer_cluster_27,1,1,cluster.fasta10,centroid=LM3X-1.2_000475;seqs=15
LTA6-1.2_000509,kmer_cluster_27,1,1,cluster.fasta10,centroid=LM3X-1.2_000475;seqs=15
LWH10-1.2_002545,kmer_cluster_27,1,1,cluster.fasta10,centroid=LM3X-1.2_000475;seqs=15
LWH11-1.2_004103,kmer_cluster_27,1,1,cluster.fasta10,centroid=LM3X-1.2_000475;seqs=15
LWH12-1.2_003578,kmer_cluster_27,1,1,cluster.fasta10,centroid=LM3X-1.2_000475;seqs=15
LWO12-1.2_000078,kmer_cluster_27,1,1,cluster.fasta10,centroid=LM3X-1.2_000475;seqs=15
LWO13-1.2_000206,kmer_cluster_27,1,1,cluster.fasta10,centroid=LM3X-1.2_000475;seqs=15
LWO14-1.2_001087,kmer_cluster_27,1,1,cluster.fasta10,centroid=LM3X-1.2_000475;seqs=15
KHB019-1-1.1_001351,kmer_cluster_27,1,1,cluster.fasta10,centroid=LM3X-1.2_000475;seqs=15
LM3X-1.2_002477,kmer_cluster_119,1,1,cluster.fasta100,centroid=LM3X-1.2_002477;seqs=13
LMB2-1.2_002636,kmer_cluster_119,1,1,cluster.fasta100,centroid=LM3X-1.2_002477;seqs=13
LMX7-1.2_003221,kmer_cluster_119,1,1,cluster.fasta100,centroid=LM3X-1.2_002477;seqs=13
LMS4-1.2_002779,kmer_cluster_119,1,1,cluster.fasta100,centroid=LM3X-1.2_002477;seqs=13
LTA6-1.2_002523,kmer_cluster_119,1,1,cluster.fasta100,centroid=LM3X-1.2_002477;seqs=13
LWH10-1.2_000731,kmer_cluster_119,1,1,cluster.fasta100,centroid=LM3X-1.2_002477;seqs=13
LWH12-1.2_001605,kmer_cluster_119,1,1,cluster.fasta100,centroid=LM3X-1.2_002477;seqs=13
LWH13-1.2_001966,kmer_cluster_119,1,1,cluster.fasta100,centroid=LM3X-1.2_002477;seqs=13
LWO13-1.2_002271,kmer_cluster_119,1,1,cluster.fasta100,centroid=LM3X-1.2_002477;seqs=13
Leaf320-1-1.1_002143,kmer_cluster_119,1,1,cluster.fasta100,centroid=LM3X-1.2_002477;seqs=13
LBN7-1.2_003283,kmer_cluster_119,1,1,cluster.fasta100,centroid=LM3X-1.2_002477;seqs=13
LWH11-1.2_002356,kmer_cluster_119,1,1,cluster.fasta100,centroid=LM3X-1.2_002477;seqs=13
LWO14-1.2_002991,kmer_cluster_119,1,1,cluster.fasta100,centroid=LM3X-1.2_002477;seqs=13
LM3X-1.2_001148,kmer_cluster_41,1,1,cluster.fasta101,centroid=LM3X-1.2_001148;seqs=23
LMB2-1.2_001307,kmer_cluster_41,1,1,cluster.fasta101,centroid=LM3X-1.2_001148;seqs=23
LMS4-1.2_001454,kmer_cluster_41,1,1,cluster.fasta101,centroid=LM3X-1.2_001148;seqs=23
LMX7-1.2_001893,kmer_cluster_41,1,1,cluster.fasta101,centroid=LM3X-1.2_001148;seqs=23
LTA6-1.2_001155,kmer_cluster_41,1,1,cluster.fasta101,centroid=LM3X-1.2_001148;seqs=23
LWH10-1.2_003235,kmer_cluster_41,1,1,cluster.fasta101,centroid=LM3X-1.2_001148;seqs=23
LWH12-1.2_002898,kmer_cluster_41,1,1,cluster.fasta101,centroid=LM3X-1.2_001148;seqs=23
LWO13-1.2_000892,kmer_cluster_41,1,1,cluster.fasta101,centroid=LM3X-1.2_001148;seqs=23
Leaf159-1-1.1_002268,kmer_cluster_41,1,1,cluster.fasta101,centroid=LM3X-1.2_001148;seqs=23
Leaf320-1-1.1_001412,kmer_cluster_41,1,1,cluster.fasta101,centroid=LM3X-1.2_001148;seqs=23
LMI12-1-1.1_001951,kmer_cluster_41,1,1,cluster.fasta101,centroid=LM3X-1.2_001148;seqs=23
LWH3-1.2_000843,kmer_cluster_41,1,1,cluster.fasta101,centroid=LM3X-1.2_001148;seqs=23
LWH7-1.2_002712,kmer_cluster_41,1,1,cluster.fasta101,centroid=LM3X-1.2_001148;seqs=23
LWS13-1.2_002574,kmer_cluster_41,1,1,cluster.fasta101,centroid=LM3X-1.2_001148;seqs=23
Leaf288-1-1.1_000307,kmer_cluster_41,1,1,cluster.fasta101,centroid=LM3X-1.2_001148;seqs=23
Root166-1-1.1_000999,kmer_cluster_41,1,1,cluster.fasta101,centroid=LM3X-1.2_001148;seqs=23
Root53-1-1.1_000085,kmer_cluster_41,1,1,cluster.fasta101,centroid=LM3X-1.2_001148;seqs=23
KHB019-1-1.1_001890,kmer_cluster_41,1,1,cluster.fasta101,centroid=LM3X-1.2_001148;seqs=23
LBN7-1.2_001836,kmer_cluster_41,1,1,cluster.fasta101,centroid=LM3X-1.2_001148;seqs=23
LWH11-1.2_000887,kmer_cluster_41,1,1,cluster.fasta101,centroid=LM3X-1.2_001148;seqs=23
LWH13-1.2_003315,kmer_cluster_41,1,1,cluster.fasta101,centroid=LM3X-1.2_001148;seqs=23
LWO12-1.2_003237,kmer_cluster_41,1,1,cluster.fasta101,centroid=LM3X-1.2_001148;seqs=23
LWO14-1.2_001740,kmer_cluster_41,1,1,cluster.fasta101,centroid=LM3X-1.2_001148;seqs=23
LMI1-1-1.1_000943,kmer_cluster_174,1,1,cluster.fasta102,centroid=LMI1-1-1.1_000943;seqs=1
LWH7-1.2_002176,kmer_cluster_175,0.028657616892911,0.162588112167944,cluster.fasta103,centroid=LWH7-1.2_002176;seqs=2
Leaf288-1-1.1_003950,kmer_cluster_175,0.028657616892911,0.162588112167944,cluster.fasta103,centroid=LWH7-1.2_002176;seqs=2
LBN7-1.2_001955,kmer_cluster_49,1,1,cluster.fasta104,centroid=LBN7-1.2_001955;seqs=16
LM3X-1.2_001294,kmer_cluster_49,1,1,cluster.fasta104,centroid=LBN7-1.2_001955;seqs=16
LMB2-1.2_001453,kmer_cluster_49,1,1,cluster.fasta104,centroid=LBN7-1.2_001955;seqs=16
LMS4-1.2_001559,kmer_cluster_49,1,1,cluster.fasta104,centroid=LBN7-1.2_001955;seqs=16
LMX7-1.2_002039,kmer_cluster_49,1,1,cluster.fasta104,centroid=LBN7-1.2_001955;seqs=16
LTA6-1.2_001261,kmer_cluster_49,1,1,cluster.fasta104,centroid=LBN7-1.2_001955;seqs=16
LWH10-1.2_003382,kmer_cluster_49,1,1,cluster.fasta104,centroid=LBN7-1.2_001955;seqs=16
LWH11-1.2_001033,kmer_cluster_49,1,1,cluster.fasta104,centroid=LBN7-1.2_001955;seqs=16
LWH12-1.2_002796,kmer_cluster_49,1,1,cluster.fasta104,centroid=LBN7-1.2_001955;seqs=16
LWH13-1.2_003164,kmer_cluster_49,1,1,cluster.fasta104,centroid=LBN7-1.2_001955;seqs=16
LWO12-1.2_003087,kmer_cluster_49,1,1,cluster.fasta104,centroid=LBN7-1.2_001955;seqs=16
LWO13-1.2_000997,kmer_cluster_49,1,1,cluster.fasta104,centroid=LBN7-1.2_001955;seqs=16
LWO14-1.2_001886,kmer_cluster_49,1,1,cluster.fasta104,centroid=LBN7-1.2_001955;seqs=16
Root1433D1-1-1.1_003236,kmer_cluster_49,1,1,cluster.fasta104,centroid=LBN7-1.2_001955;seqs=16
Root280D1-1-1.1_000236,kmer_cluster_49,1,1,cluster.fasta104,centroid=LBN7-1.2_001955;seqs=16
Root322-1-1.1_002234,kmer_cluster_49,1,1,cluster.fasta104,centroid=LBN7-1.2_001955;seqs=16
LBN7-1.2_002161,kmer_cluster_52,1,1,cluster.fasta105,centroid=LBN7-1.2_002161;seqs=16
LWH11-1.2_001234,kmer_cluster_52,1,1,cluster.fasta105,centroid=LBN7-1.2_002161;seqs=16
LWO14-1.2_002036,kmer_cluster_52,1,1,cluster.fasta105,centroid=LBN7-1.2_002161;seqs=16
LM3X-1.2_001446,kmer_cluster_52,1,1,cluster.fasta105,centroid=LBN7-1.2_002161;seqs=16
LMB2-1.2_001605,kmer_cluster_52,1,1,cluster.fasta105,centroid=LBN7-1.2_002161;seqs=16
LMX7-1.2_002191,kmer_cluster_52,1,1,cluster.fasta105,centroid=LBN7-1.2_002161;seqs=16
LWH10-1.2_003561,kmer_cluster_52,1,1,cluster.fasta105,centroid=LBN7-1.2_002161;seqs=16
LWO12-1.2_002894,kmer_cluster_52,1,1,cluster.fasta105,centroid=LBN7-1.2_002161;seqs=16
Root1433D1-1-1.1_001096,kmer_cluster_52,1,1,cluster.fasta105,centroid=LBN7-1.2_002161;seqs=16
Root322-1-1.1_002044,kmer_cluster_52,1,1,cluster.fasta105,centroid=LBN7-1.2_002161;seqs=16
LMS4-1.2_001710,kmer_cluster_52,1,1,cluster.fasta105,centroid=LBN7-1.2_002161;seqs=16
LTA6-1.2_001413,kmer_cluster_52,1,1,cluster.fasta105,centroid=LBN7-1.2_002161;seqs=16
LWH12-1.2_002658,kmer_cluster_52,1,1,cluster.fasta105,centroid=LBN7-1.2_002161;seqs=16
LWO13-1.2_001160,kmer_cluster_52,1,1,cluster.fasta105,centroid=LBN7-1.2_002161;seqs=16
LWH3-1.2_000697,kmer_cluster_52,1,1,cluster.fasta105,centroid=LBN7-1.2_002161;seqs=16
Leaf288-1-1.1_000471,kmer_cluster_52,1,1,cluster.fasta105,centroid=LBN7-1.2_002161;seqs=16
LM3X-1.2_001900,kmer_cluster_74,0.028657616892911,0.162588112167944,cluster.fasta106,centroid=LM3X-1.2_001900;seqs=18
LMB2-1.2_002059,kmer_cluster_74,0.028657616892911,0.162588112167944,cluster.fasta106,centroid=LM3X-1.2_001900;seqs=18
LMX7-1.2_002644,kmer_cluster_74,0.028657616892911,0.162588112167944,cluster.fasta106,centroid=LM3X-1.2_001900;seqs=18
LWH13-1.2_002557,kmer_cluster_74,0.028657616892911,0.162588112167944,cluster.fasta106,centroid=LM3X-1.2_001900;seqs=18
LWO12-1.2_002470,kmer_cluster_74,0.028657616892911,0.162588112167944,cluster.fasta106,centroid=LM3X-1.2_001900;seqs=18
LWO14-1.2_002338,kmer_cluster_74,0.028657616892911,0.162588112167944,cluster.fasta106,centroid=LM3X-1.2_001900;seqs=18
LWO14-1.2_002426,kmer_cluster_74,0.028657616892911,0.162588112167944,cluster.fasta106,centroid=LM3X-1.2_001900;seqs=18
Leaf159-1-1.1_003509,kmer_cluster_74,0.028657616892911,0.162588112167944,cluster.fasta106,centroid=LM3X-1.2_001900;seqs=18
LBN7-1.2_002571,kmer_cluster_74,0.028657616892911,0.162588112167944,cluster.fasta106,centroid=LM3X-1.2_001900;seqs=18
LMS4-1.2_002058,kmer_cluster_74,0.028657616892911,0.162588112167944,cluster.fasta106,centroid=LM3X-1.2_001900;seqs=18
LTA6-1.2_001761,kmer_cluster_74,0.028657616892911,0.162588112167944,cluster.fasta106,centroid=LM3X-1.2_001900;seqs=18
LWH10-1.2_000098,kmer_cluster_74,0.028657616892911,0.162588112167944,cluster.fasta106,centroid=LM3X-1.2_001900;seqs=18
LWH11-1.2_001649,kmer_cluster_74,0.028657616892911,0.162588112167944,cluster.fasta106,centroid=LM3X-1.2_001900;seqs=18
LWH12-1.2_002302,kmer_cluster_74,0.028657616892911,0.162588112167944,cluster.fasta106,centroid=LM3X-1.2_001900;seqs=18
LWO12-1.2_002566,kmer_cluster_74,0.028657616892911,0.162588112167944,cluster.fasta106,centroid=LM3X-1.2_001900;seqs=18
LWO13-1.2_001506,kmer_cluster_74,0.028657616892911,0.162588112167944,cluster.fasta106,centroid=LM3X-1.2_001900;seqs=18
Root1433D1-1-1.1_000808,kmer_cluster_74,0.028657616892911,0.162588112167944,cluster.fasta106,centroid=LM3X-1.2_001900;seqs=18
Root322-1-1.1_001759,kmer_cluster_74,0.028657616892911,0.162588112167944,cluster.fasta106,centroid=LM3X-1.2_001900;seqs=18
LM3X-1.2_001922,kmer_cluster_78,2.65172782279854e-11,9.21475418422493e-10,cluster.fasta107,centroid=LM3X-1.2_001922;seqs=13
LMB2-1.2_002081,kmer_cluster_78,2.65172782279854e-11,9.21475418422493e-10,cluster.fasta107,centroid=LM3X-1.2_001922;seqs=13
LMS4-1.2_002661,kmer_cluster_78,2.65172782279854e-11,9.21475418422493e-10,cluster.fasta107,centroid=LM3X-1.2_001922;seqs=13
LMX7-1.2_002666,kmer_cluster_78,2.65172782279854e-11,9.21475418422493e-10,cluster.fasta107,centroid=LM3X-1.2_001922;seqs=13
LTA6-1.2_001940,kmer_cluster_78,2.65172782279854e-11,9.21475418422493e-10,cluster.fasta107,centroid=LM3X-1.2_001922;seqs=13
LWH10-1.2_002703,kmer_cluster_78,2.65172782279854e-11,9.21475418422493e-10,cluster.fasta107,centroid=LM3X-1.2_001922;seqs=13
LWH12-1.2_002149,kmer_cluster_78,2.65172782279854e-11,9.21475418422493e-10,cluster.fasta107,centroid=LM3X-1.2_001922;seqs=13
LWH13-1.2_002535,kmer_cluster_78,2.65172782279854e-11,9.21475418422493e-10,cluster.fasta107,centroid=LM3X-1.2_001922;seqs=13
LWO12-1.2_002450,kmer_cluster_78,2.65172782279854e-11,9.21475418422493e-10,cluster.fasta107,centroid=LM3X-1.2_001922;seqs=13
LWO13-1.2_001698,kmer_cluster_78,2.65172782279854e-11,9.21475418422493e-10,cluster.fasta107,centroid=LM3X-1.2_001922;seqs=13
LWO14-1.2_002448,kmer_cluster_78,2.65172782279854e-11,9.21475418422493e-10,cluster.fasta107,centroid=LM3X-1.2_001922;seqs=13
LBN7-1.2_001116,kmer_cluster_78,2.65172782279854e-11,9.21475418422493e-10,cluster.fasta107,centroid=LM3X-1.2_001922;seqs=13
LWH11-1.2_000160,kmer_cluster_78,2.65172782279854e-11,9.21475418422493e-10,cluster.fasta107,centroid=LM3X-1.2_001922;seqs=13
LWH10-1.2_000907,kmer_cluster_176,0.129785656101446,0.487573140489214,cluster.fasta108,centroid=LWH10-1.2_000907;seqs=1
LWH3-1.2_000013,kmer_cluster_86,1,1,cluster.fasta109,centroid=LWH3-1.2_000013;seqs=15
LBN7-1.2_002879,kmer_cluster_86,1,1,cluster.fasta109,centroid=LWH3-1.2_000013;seqs=15
LM3X-1.2_002144,kmer_cluster_86,1,1,cluster.fasta109,centroid=LWH3-1.2_000013;seqs=15
LMB2-1.2_002303,kmer_cluster_86,1,1,cluster.fasta109,centroid=LWH3-1.2_000013;seqs=15
LMI12-1-1.1_000882,kmer_cluster_86,1,1,cluster.fasta109,centroid=LWH3-1.2_000013;seqs=15
LMX7-1.2_002888,kmer_cluster_86,1,1,cluster.fasta109,centroid=LWH3-1.2_000013;seqs=15
LTA6-1.2_002122,kmer_cluster_86,1,1,cluster.fasta109,centroid=LWH3-1.2_000013;seqs=15
LWH10-1.2_000317,kmer_cluster_86,1,1,cluster.fasta109,centroid=LWH3-1.2_000013;seqs=15
LWH11-1.2_001951,kmer_cluster_86,1,1,cluster.fasta109,centroid=LWH3-1.2_000013;seqs=15
LWH7-1.2_003677,kmer_cluster_86,1,1,cluster.fasta109,centroid=LWH3-1.2_000013;seqs=15
LWO12-1.2_002202,kmer_cluster_86,1,1,cluster.fasta109,centroid=LWH3-1.2_000013;seqs=15
LWO13-1.2_001880,kmer_cluster_86,1,1,cluster.fasta109,centroid=LWH3-1.2_000013;seqs=15
LWO14-1.2_002635,kmer_cluster_86,1,1,cluster.fasta109,centroid=LWH3-1.2_000013;seqs=15
LWS13-1.2_001660,kmer_cluster_86,1,1,cluster.fasta109,centroid=LWH3-1.2_000013;seqs=15
Root280D1-1-1.1_002884,kmer_cluster_86,1,1,cluster.fasta109,centroid=LWH3-1.2_000013;seqs=15
LWH12-1.2_002388,kmer_cluster_177,0.138733875575981,0.514240232134969,cluster.fasta11,centroid=LWH12-1.2_002388;seqs=1
LWS13-1.2_001926,kmer_cluster_178,2.65172782279854e-11,9.21475418422493e-10,cluster.fasta110,centroid=LWS13-1.2_001926;seqs=1
LMI1-1-1.1_001507,kmer_cluster_179,0.509156319834852,1,cluster.fasta111,centroid=LMI1-1-1.1_001507;seqs=1
LWO14-1.2_002977,kmer_cluster_117,1,1,cluster.fasta112,centroid=LWO14-1.2_002977;seqs=8
LWO13-1.2_002255,kmer_cluster_117,1,1,cluster.fasta112,centroid=LWO14-1.2_002977;seqs=8
LBN7-1.2_003266,kmer_cluster_117,1,1,cluster.fasta112,centroid=LWO14-1.2_002977;seqs=8
LWH11-1.2_002340,kmer_cluster_117,1,1,cluster.fasta112,centroid=LWO14-1.2_002977;seqs=8
LM3X-1.2_002458,kmer_cluster_117,1,1,cluster.fasta112,centroid=LWO14-1.2_002977;seqs=8
LMB2-1.2_002617,kmer_cluster_117,1,1,cluster.fasta112,centroid=LWO14-1.2_002977;seqs=8
LMX7-1.2_003202,kmer_cluster_117,1,1,cluster.fasta112,centroid=LWO14-1.2_002977;seqs=8
LWH10-1.2_000713,kmer_cluster_117,1,1,cluster.fasta112,centroid=LWO14-1.2_002977;seqs=8
LMS4-1.2_000330,kmer_cluster_180,0.0485077041970323,0.259329649361057,cluster.fasta113,centroid=LMS4-1.2_000330;seqs=4
LTA6-1.2_000089,kmer_cluster_180,0.0485077041970323,0.259329649361057,cluster.fasta113,centroid=LMS4-1.2_000330;seqs=4
LWH12-1.2_000306,kmer_cluster_180,0.0485077041970323,0.259329649361057,cluster.fasta113,centroid=LMS4-1.2_000330;seqs=4
LWO13-1.2_003606,kmer_cluster_180,0.0485077041970323,0.259329649361057,cluster.fasta113,centroid=LMS4-1.2_000330;seqs=4
LMS4-1.2_000867,kmer_cluster_181,0.0453861816090919,0.248520971843182,cluster.fasta114,centroid=LMS4-1.2_000867;seqs=2
LWH12-1.2_003450,kmer_cluster_181,0.0453861816090919,0.248520971843182,cluster.fasta114,centroid=LMS4-1.2_000867;seqs=2
LBN7-1.2_003155,kmer_cluster_112,0.129785656101446,0.487573140489214,cluster.fasta115,centroid=LBN7-1.2_003155;seqs=17
LM3X-1.2_002395,kmer_cluster_112,0.129785656101446,0.487573140489214,cluster.fasta115,centroid=LBN7-1.2_003155;seqs=17
LMB2-1.2_002554,kmer_cluster_112,0.129785656101446,0.487573140489214,cluster.fasta115,centroid=LBN7-1.2_003155;seqs=17
LMS4-1.2_002582,kmer_cluster_112,0.129785656101446,0.487573140489214,cluster.fasta115,centroid=LBN7-1.2_003155;seqs=17
LMX7-1.2_003139,kmer_cluster_112,0.129785656101446,0.487573140489214,cluster.fasta115,centroid=LBN7-1.2_003155;seqs=17
LTA6-1.2_002404,kmer_cluster_112,0.129785656101446,0.487573140489214,cluster.fasta115,centroid=LBN7-1.2_003155;seqs=17
LWH11-1.2_002229,kmer_cluster_112,0.129785656101446,0.487573140489214,cluster.fasta115,centroid=LBN7-1.2_003155;seqs=17
LWH12-1.2_001708,kmer_cluster_112,0.129785656101446,0.487573140489214,cluster.fasta115,centroid=LBN7-1.2_003155;seqs=17
LWH3-1.2_001151,kmer_cluster_112,0.129785656101446,0.487573140489214,cluster.fasta115,centroid=LBN7-1.2_003155;seqs=17
LWH7-1.2_002306,kmer_cluster_112,0.129785656101446,0.487573140489214,cluster.fasta115,centroid=LBN7-1.2_003155;seqs=17
LWO12-1.2_002521,kmer_cluster_112,0.129785656101446,0.487573140489214,cluster.fasta115,centroid=LBN7-1.2_003155;seqs=17
LWO13-1.2_002159,kmer_cluster_112,0.129785656101446,0.487573140489214,cluster.fasta115,centroid=LBN7-1.2_003155;seqs=17
LWO14-1.2_002899,kmer_cluster_112,0.129785656101446,0.487573140489214,cluster.fasta115,centroid=LBN7-1.2_003155;seqs=17
Leaf159-1-1.1_003574,kmer_cluster_112,0.129785656101446,0.487573140489214,cluster.fasta115,centroid=LBN7-1.2_003155;seqs=17
Leaf161-1-1.1_000785,kmer_cluster_112,0.129785656101446,0.487573140489214,cluster.fasta115,centroid=LBN7-1.2_003155;seqs=17
Root1433D1-1-1.1_000323,kmer_cluster_112,0.129785656101446,0.487573140489214,cluster.fasta115,centroid=LBN7-1.2_003155;seqs=17
Root322-1-1.1_001302,kmer_cluster_112,0.129785656101446,0.487573140489214,cluster.fasta115,centroid=LBN7-1.2_003155;seqs=17
LBN7-1.2_002136,kmer_cluster_50,0.0559846004767606,0.282403487261787,cluster.fasta116,centroid=LBN7-1.2_002136;seqs=14
LWH11-1.2_001209,kmer_cluster_50,0.0559846004767606,0.282403487261787,cluster.fasta116,centroid=LBN7-1.2_002136;seqs=14
LWO12-1.2_002915,kmer_cluster_50,0.0559846004767606,0.282403487261787,cluster.fasta116,centroid=LBN7-1.2_002136;seqs=14
LWO14-1.2_002016,kmer_cluster_50,0.0559846004767606,0.282403487261787,cluster.fasta116,centroid=LBN7-1.2_002136;seqs=14
LM3X-1.2_001428,kmer_cluster_50,0.0559846004767606,0.282403487261787,cluster.fasta116,centroid=LBN7-1.2_002136;seqs=14
LMB2-1.2_001587,kmer_cluster_50,0.0559846004767606,0.282403487261787,cluster.fasta116,centroid=LBN7-1.2_002136;seqs=14
LMX7-1.2_002173,kmer_cluster_50,0.0559846004767606,0.282403487261787,cluster.fasta116,centroid=LBN7-1.2_002136;seqs=14
Root1433D1-1-1.1_001140,kmer_cluster_50,0.0559846004767606,0.282403487261787,cluster.fasta116,centroid=LBN7-1.2_002136;seqs=14
Root322-1-1.1_002069,kmer_cluster_50,0.0559846004767606,0.282403487261787,cluster.fasta116,centroid=LBN7-1.2_002136;seqs=14
LMS4-1.2_001687,kmer_cluster_50,0.0559846004767606,0.282403487261787,cluster.fasta116,centroid=LBN7-1.2_002136;seqs=14
LTA6-1.2_001390,kmer_cluster_50,0.0559846004767606,0.282403487261787,cluster.fasta116,centroid=LBN7-1.2_002136;seqs=14
LWH10-1.2_003533,kmer_cluster_50,0.0559846004767606,0.282403487261787,cluster.fasta116,centroid=LBN7-1.2_002136;seqs=14
LWH12-1.2_002679,kmer_cluster_50,0.0559846004767606,0.282403487261787,cluster.fasta116,centroid=LBN7-1.2_002136;seqs=14
LWO13-1.2_001137,kmer_cluster_50,0.0559846004767606,0.282403487261787,cluster.fasta116,centroid=LBN7-1.2_002136;seqs=14
LMS4-1.2_002662,kmer_cluster_79,2.65172782279854e-11,9.21475418422493e-10,cluster.fasta117,centroid=LMS4-1.2_002662;seqs=13
LTA6-1.2_001941,kmer_cluster_79,2.65172782279854e-11,9.21475418422493e-10,cluster.fasta117,centroid=LMS4-1.2_002662;seqs=13
LWH12-1.2_002148,kmer_cluster_79,2.65172782279854e-11,9.21475418422493e-10,cluster.fasta117,centroid=LMS4-1.2_002662;seqs=13
LWO13-1.2_001699,kmer_cluster_79,2.65172782279854e-11,9.21475418422493e-10,cluster.fasta117,centroid=LMS4-1.2_002662;seqs=13
LBN7-1.2_001115,kmer_cluster_79,2.65172782279854e-11,9.21475418422493e-10,cluster.fasta117,centroid=LMS4-1.2_002662;seqs=13
LWH10-1.2_002702,kmer_cluster_79,2.65172782279854e-11,9.21475418422493e-10,cluster.fasta117,centroid=LMS4-1.2_002662;seqs=13
LWH11-1.2_000159,kmer_cluster_79,2.65172782279854e-11,9.21475418422493e-10,cluster.fasta117,centroid=LMS4-1.2_002662;seqs=13
LM3X-1.2_001923,kmer_cluster_79,2.65172782279854e-11,9.21475418422493e-10,cluster.fasta117,centroid=LMS4-1.2_002662;seqs=13
LMB2-1.2_002082,kmer_cluster_79,2.65172782279854e-11,9.21475418422493e-10,cluster.fasta117,centroid=LMS4-1.2_002662;seqs=13
LMX7-1.2_002667,kmer_cluster_79,2.65172782279854e-11,9.21475418422493e-10,cluster.fasta117,centroid=LMS4-1.2_002662;seqs=13
LWH13-1.2_002534,kmer_cluster_79,2.65172782279854e-11,9.21475418422493e-10,cluster.fasta117,centroid=LMS4-1.2_002662;seqs=13
LWO12-1.2_002449,kmer_cluster_79,2.65172782279854e-11,9.21475418422493e-10,cluster.fasta117,centroid=LMS4-1.2_002662;seqs=13
LWO14-1.2_002449,kmer_cluster_79,2.65172782279854e-11,9.21475418422493e-10,cluster.fasta117,centroid=LMS4-1.2_002662;seqs=13
LWH11-1.2_000812,kmer_cluster_182,0.503373819163293,1,cluster.fasta118,centroid=LWH11-1.2_000812;seqs=1
LBN7-1.2_002040,kmer_cluster_183,0.161943319838057,0.592371617302366,cluster.fasta119,centroid=LBN7-1.2_002040;seqs=1
LBN7-1.2_000422,kmer_cluster_4,1,1,cluster.fasta12,centroid=LBN7-1.2_000422;seqs=20
LWH11-1.2_003566,kmer_cluster_4,1,1,cluster.fasta12,centroid=LBN7-1.2_000422;seqs=20
LWO12-1.2_000663,kmer_cluster_4,1,1,cluster.fasta12,centroid=LBN7-1.2_000422;seqs=20
LWH7-1.2_000295,kmer_cluster_4,1,1,cluster.fasta12,centroid=LBN7-1.2_000422;seqs=20
LWH10-1.2_001974,kmer_cluster_4,1,1,cluster.fasta12,centroid=LBN7-1.2_000422;seqs=20
LWH3-1.2_002921,kmer_cluster_4,1,1,cluster.fasta12,centroid=LBN7-1.2_000422;seqs=20
LMS4-1.2_000180,kmer_cluster_4,1,1,cluster.fasta12,centroid=LBN7-1.2_000422;seqs=20
LTA6-1.2_003697,kmer_cluster_4,1,1,cluster.fasta12,centroid=LBN7-1.2_000422;seqs=20
