Isolate,orthogroup,genes,ampo_positive,mhpa_positive
LBN7,OG0001961,LBN7-1.2_000859,FALSE,FALSE
LBN7,OG0001981,LBN7-1.2_001139,FALSE,FALSE
LBN7,OG0002028,LBN7-1.2_001140,FALSE,FALSE
LBN7,OG0002086,LBN7-1.2_001112,FALSE,FALSE
LBN7,OG0002091,LBN7-1.2_002320,FALSE,FALSE
LBN7,OG0002112,LBN7-1.2_000315,FALSE,FALSE
LBN7,OG0002149,LBN7-1.2_001108,TRUE,FALSE
LBN7,OG0002149,LBN7-1.2_001124,TRUE,FALSE
LBN7,OG0002151,LBN7-1.2_001226,FALSE,FALSE
LBN7,OG0002152,LBN7-1.2_001303,FALSE,FALSE
LBN7,OG0002159,LBN7-1.2_003355,FALSE,FALSE
LBN7,OG0002173,LBN7-1.2_000221,FALSE,FALSE
LBN7,OG0002174,LBN7-1.2_000254,FALSE,FALSE
LBN7,OG0002176,LBN7-1.2_000687,FALSE,FALSE
LBN7,OG0002178,LBN7-1.2_003800,FALSE,FALSE
LBN7,OG0002181,LBN7-1.2_001745,FALSE,FALSE
LBN7,OG0002191,LBN7-1.2_001724,FALSE,FALSE
LBN7,OG0002193,LBN7-1.2_002767,FALSE,FALSE
LBN7,OG0002194,LBN7-1.2_002553,FALSE,FALSE
LBN7,OG0002204,LBN7-1.2_002778,FALSE,FALSE
LBN7,OG0002234,LBN7-1.2_001077,FALSE,FALSE
LBN7,OG0002286,LBN7-1.2_001860,FALSE,FALSE
LBN7,OG0002341,LBN7-1.2_001551,FALSE,FALSE
LBN7,OG0002342,LBN7-1.2_001722,FALSE,FALSE
LBN7,OG0002344,LBN7-1.2_002216,FALSE,FALSE
LBN7,OG0002361,LBN7-1.2_001053,FALSE,FALSE
LBN7,OG0002362,LBN7-1.2_001054,FALSE,FALSE
LBN7,OG0002374,LBN7-1.2_001128,FALSE,FALSE
LBN7,OG0002376,LBN7-1.2_001723,FALSE,FALSE
LBN7,OG0002376,LBN7-1.2_003252,FALSE,FALSE
LBN7,OG0002409,LBN7-1.2_000137,FALSE,FALSE
LBN7,OG0002434,LBN7-1.2_003803,FALSE,FALSE
LBN7,OG0002456,LBN7-1.2_000839,FALSE,FALSE
LBN7,OG0002485,LBN7-1.2_001150,FALSE,FALSE
LBN7,OG0002551,LBN7-1.2_001117,FALSE,FALSE
LBN7,OG0002551,LBN7-1.2_002651,FALSE,FALSE
LBN7,OG0002559,LBN7-1.2_001144,FALSE,FALSE
LBN7,OG0002576,LBN7-1.2_002847,FALSE,FALSE
LBN7,OG0002577,LBN7-1.2_002848,FALSE,FALSE
LBN7,OG0002638,LBN7-1.2_001861,FALSE,FALSE
LBN7,OG0002665,LBN7-1.2_003415,FALSE,FALSE
LBN7,OG0002678,LBN7-1.2_001183,FALSE,FALSE
LBN7,OG0002689,LBN7-1.2_000626,FALSE,FALSE
LBN7,OG0002693,LBN7-1.2_001574,FALSE,FALSE
LBN7,OG0002704,LBN7-1.2_003308,FALSE,FALSE
LBN7,OG0002705,LBN7-1.2_003309,FALSE,FALSE
LBN7,OG0002750,LBN7-1.2_000848,FALSE,FALSE
LBN7,OG0002757,LBN7-1.2_001208,FALSE,FALSE
LBN7,OG0002759,LBN7-1.2_001539,FALSE,FALSE
LBN7,OG0002801,LBN7-1.2_002544,FALSE,FALSE
LBN7,OG0002801,LBN7-1.2_002748,FALSE,FALSE
LBN7,OG0002810,LBN7-1.2_000845,FALSE,FALSE
LBN7,OG0002811,LBN7-1.2_001113,FALSE,FALSE
LBN7,OG0002830,LBN7-1.2_003629,FALSE,FALSE
LBN7,OG0002831,LBN7-1.2_003630,FALSE,FALSE
LBN7,OG0002872,LBN7-1.2_001170,FALSE,FALSE
LBN7,OG0002896,LBN7-1.2_001162,FALSE,FALSE
LBN7,OG0002965,LBN7-1.2_000157,FALSE,FALSE
LBN7,OG0002971,LBN7-1.2_001106,TRUE,FALSE
LBN7,OG0002972,LBN7-1.2_001114,TRUE,FALSE
LBN7,OG0002973,LBN7-1.2_001115,TRUE,FALSE
LBN7,OG0002975,LBN7-1.2_001207,FALSE,FALSE
LBN7,OG0002982,LBN7-1.2_001961,FALSE,FALSE
LBN7,OG0003032,LBN7-1.2_003558,FALSE,FALSE
LBN7,OG0003089,LBN7-1.2_001143,FALSE,FALSE
LBN7,OG0003104,LBN7-1.2_002348,FALSE,FALSE
LBN7,OG0003159,LBN7-1.2_002336,FALSE,FALSE
LBN7,OG0003161,LBN7-1.2_001164,FALSE,FALSE
LBN7,OG0003179,LBN7-1.2_000989,FALSE,FALSE
LBN7,OG0003182,LBN7-1.2_001132,FALSE,FALSE
LBN7,OG0003184,LBN7-1.2_001559,FALSE,FALSE
LBN7,OG0003197,LBN7-1.2_003431,FALSE,FALSE
LBN7,OG0003273,LBN7-1.2_001172,FALSE,FALSE
LBN7,OG0003274,LBN7-1.2_001168,FALSE,FALSE
LBN7,OG0003275,LBN7-1.2_001167,FALSE,FALSE
LBN7,OG0003289,LBN7-1.2_000735,FALSE,FALSE
LBN7,OG0003292,LBN7-1.2_001090,FALSE,FALSE
LBN7,OG0003293,LBN7-1.2_001091,FALSE,FALSE
LBN7,OG0003303,LBN7-1.2_002212,FALSE,FALSE
LBN7,OG0003305,LBN7-1.2_002349,FALSE,FALSE
LBN7,OG0003305,LBN7-1.2_002363,FALSE,FALSE
LBN7,OG0003306,LBN7-1.2_002354,FALSE,FALSE
LBN7,OG0003307,LBN7-1.2_002355,FALSE,FALSE
LBN7,OG0003308,LBN7-1.2_002459,FALSE,FALSE
LBN7,OG0003312,LBN7-1.2_003310,FALSE,FALSE
LBN7,OG0003390,LBN7-1.2_000079,FALSE,FALSE
LBN7,OG0003394,LBN7-1.2_001028,FALSE,FALSE
LBN7,OG0003395,LBN7-1.2_001142,FALSE,FALSE
LBN7,OG0003398,LBN7-1.2_001438,FALSE,FALSE
LBN7,OG0003399,LBN7-1.2_001558,FALSE,FALSE
LBN7,OG0003411,LBN7-1.2_002707,FALSE,FALSE
LBN7,OG0003415,LBN7-1.2_003843,FALSE,FALSE
LBN7,OG0003488,LBN7-1.2_000395,FALSE,FALSE
LBN7,OG0003510,LBN7-1.2_000734,FALSE,FALSE
LBN7,OG0003515,LBN7-1.2_001089,FALSE,FALSE
LBN7,OG0003516,LBN7-1.2_001134,FALSE,FALSE
LBN7,OG0003517,LBN7-1.2_001136,FALSE,FALSE
LBN7,OG0003518,LBN7-1.2_001145,FALSE,FALSE
LBN7,OG0003521,LBN7-1.2_001547,FALSE,FALSE
LBN7,OG0003524,LBN7-1.2_002041,FALSE,FALSE
LBN7,OG0003538,LBN7-1.2_003046,FALSE,FALSE
LBN7,OG0003541,LBN7-1.2_003465,FALSE,FALSE
LBN7,OG0003656,LBN7-1.2_001552,FALSE,FALSE
LBN7,OG0003657,LBN7-1.2_001553,FALSE,FALSE
LBN7,OG0003671,LBN7-1.2_002338,FALSE,FALSE
LBN7,OG0003672,LBN7-1.2_002340,FALSE,FALSE
LBN7,OG0003673,LBN7-1.2_002358,FALSE,FALSE
LBN7,OG0003687,LBN7-1.2_003674,FALSE,FALSE
LBN7,OG0003689,LBN7-1.2_001911,FALSE,FALSE
LBN7,OG0003836,LBN7-1.2_001872,FALSE,FALSE
LBN7,OG0003840,LBN7-1.2_002059,FALSE,FALSE
LBN7,OG0003841,LBN7-1.2_002126,FALSE,FALSE
LBN7,OG0003998,LBN7-1.2_001006,FALSE,FALSE
LBN7,OG0004013,LBN7-1.2_001914,FALSE,FALSE
LBN7,OG0004020,LBN7-1.2_003079,FALSE,FALSE
LBN7,OG0004023,LBN7-1.2_003622,FALSE,FALSE
LBN7,OG0004188,LBN7-1.2_000769,FALSE,FALSE
LBN7,OG0004189,LBN7-1.2_000820,FALSE,FALSE
LBN7,OG0004196,LBN7-1.2_001916,FALSE,FALSE
LBN7,OG0004197,LBN7-1.2_001917,FALSE,FALSE
LBN7,OG0004202,LBN7-1.2_002061,FALSE,FALSE
LBN7,OG0004208,LBN7-1.2_002827,FALSE,FALSE
LBN7,OG0004211,LBN7-1.2_003619,FALSE,FALSE
LBN7,OG0004212,LBN7-1.2_003623,FALSE,FALSE
LBN7,OG0004215,LBN7-1.2_003930,FALSE,FALSE
LBN7,OG0004216,LBN7-1.2_003931,FALSE,FALSE
LBN7,OG0004446,LBN7-1.2_000177,FALSE,FALSE
LBN7,OG0004450,LBN7-1.2_000912,FALSE,FALSE
LBN7,OG0004451,LBN7-1.2_000943,FALSE,FALSE
LBN7,OG0004454,LBN7-1.2_001395,FALSE,FALSE
LBN7,OG0004455,LBN7-1.2_001412,FALSE,FALSE
LBN7,OG0004458,LBN7-1.2_001572,FALSE,FALSE
LBN7,OG0004460,LBN7-1.2_001669,FALSE,FALSE
LBN7,OG0004461,LBN7-1.2_001670,FALSE,FALSE
LBN7,OG0004463,LBN7-1.2_001907,FALSE,FALSE
LBN7,OG0004464,LBN7-1.2_001958,FALSE,FALSE
LBN7,OG0004465,LBN7-1.2_001963,FALSE,FALSE
LBN7,OG0004466,LBN7-1.2_002032,FALSE,FALSE
LBN7,OG0004467,LBN7-1.2_002099,FALSE,FALSE
LBN7,OG0004468,LBN7-1.2_002353,FALSE,FALSE
LBN7,OG0004471,LBN7-1.2_002429,FALSE,FALSE
LBN7,OG0004472,LBN7-1.2_002642,FALSE,FALSE
LBN7,OG0004473,LBN7-1.2_002647,FALSE,FALSE
LBN7,OG0004474,LBN7-1.2_002671,FALSE,FALSE
LBN7,OG0004476,LBN7-1.2_002768,FALSE,FALSE
LBN7,OG0004477,LBN7-1.2_002770,FALSE,FALSE
LBN7,OG0004479,LBN7-1.2_003268,FALSE,FALSE
LBN7,OG0004483,LBN7-1.2_003747,FALSE,FALSE
LBN7,OG0004484,LBN7-1.2_002327,FALSE,FALSE
LM3X,OG0000100,LM3X-1.2_001699,FALSE,FALSE
LM3X,OG0000108,LM3X-1.2_001371,FALSE,FALSE
LM3X,OG0000173,LM3X-1.2_001921,FALSE,FALSE
LM3X,OG0000173,LM3X-1.2_001927,FALSE,FALSE
LM3X,OG0000197,LM3X-1.2_001902,FALSE,FALSE
LM3X,OG0000344,LM3X-1.2_001868,FALSE,FALSE
LM3X,OG0000344,LM3X-1.2_001881,FALSE,FALSE
LM3X,OG0000359,LM3X-1.2_002567,FALSE,FALSE
LM3X,OG0000359,LM3X-1.2_003720,FALSE,FALSE
LM3X,OG0000609,LM3X-1.2_002059,FALSE,FALSE
LM3X,OG0001122,LM3X-1.2_000463,FALSE,FALSE
LM3X,OG0001624,LM3X-1.2_000607,FALSE,FALSE
LM3X,OG0001626,LM3X-1.2_001867,FALSE,FALSE
LM3X,OG0001681,LM3X-1.2_001889,FALSE,FALSE
LM3X,OG0001787,LM3X-1.2_001920,TRUE,FALSE
LM3X,OG0001787,LM3X-1.2_001929,TRUE,FALSE
LM3X,OG0001839,LM3X-1.2_001798,FALSE,FALSE
LM3X,OG0001860,LM3X-1.2_001211,FALSE,FALSE
LM3X,OG0001904,LM3X-1.2_003465,FALSE,FALSE
LM3X,OG0001923,LM3X-1.2_002043,FALSE,FALSE
LM3X,OG0001961,LM3X-1.2_002787,FALSE,FALSE
LM3X,OG0001981,LM3X-1.2_001875,FALSE,FALSE
LM3X,OG0002028,LM3X-1.2_001874,FALSE,FALSE
LM3X,OG0002086,LM3X-1.2_001926,FALSE,FALSE
LM3X,OG0002091,LM3X-1.2_001636,FALSE,FALSE
LM3X,OG0002112,LM3X-1.2_003631,FALSE,FALSE
LM3X,OG0002149,LM3X-1.2_001930,TRUE,FALSE
LM3X,OG0002151,LM3X-1.2_001667,FALSE,FALSE
LM3X,OG0002152,LM3X-1.2_000669,FALSE,FALSE
LM3X,OG0002159,LM3X-1.2_002529,FALSE,FALSE
LM3X,OG0002173,LM3X-1.2_003487,FALSE,FALSE
LM3X,OG0002174,LM3X-1.2_003521,FALSE,FALSE
LM3X,OG0002176,LM3X-1.2_000238,FALSE,FALSE
LM3X,OG0002178,LM3X-1.2_003037,FALSE,FALSE
LM3X,OG0002181,LM3X-1.2_001070,FALSE,FALSE
LM3X,OG0002191,LM3X-1.2_001064,FALSE,FALSE
LM3X,OG0002193,LM3X-1.2_002046,FALSE,FALSE
LM3X,OG0002194,LM3X-1.2_001796,FALSE,FALSE
LM3X,OG0002204,LM3X-1.2_002060,FALSE,FALSE
LM3X,OG0002234,LM3X-1.2_000589,FALSE,FALSE
LM3X,OG0002286,LM3X-1.2_001171,FALSE,FALSE
LM3X,OG0002341,LM3X-1.2_001078,FALSE,FALSE
LM3X,OG0002342,LM3X-1.2_001062,FALSE,FALSE
LM3X,OG0002344,LM3X-1.2_001462,FALSE,FALSE
LM3X,OG0002361,LM3X-1.2_000558,FALSE,FALSE
LM3X,OG0002362,LM3X-1.2_000559,FALSE,FALSE
LM3X,OG0002374,LM3X-1.2_001919,FALSE,FALSE
LM3X,OG0002374,LM3X-1.2_001999,FALSE,FALSE
LM3X,OG0002376,LM3X-1.2_001063,FALSE,FALSE
LM3X,OG0002409,LM3X-1.2_002999,FALSE,FALSE
LM3X,OG0002434,LM3X-1.2_003040,FALSE,FALSE
LM3X,OG0002456,LM3X-1.2_002946,FALSE,FALSE
LM3X,OG0002485,LM3X-1.2_001864,FALSE,FALSE
LM3X,OG0002551,LM3X-1.2_001933,FALSE,FALSE
LM3X,OG0002559,LM3X-1.2_001870,FALSE,FALSE
LM3X,OG0002576,LM3X-1.2_002124,FALSE,FALSE
LM3X,OG0002577,LM3X-1.2_002125,FALSE,FALSE
LM3X,OG0002638,LM3X-1.2_001172,FALSE,FALSE
LM3X,OG0002665,LM3X-1.2_003077,FALSE,FALSE
LM3X,OG0002678,LM3X-1.2_003710,FALSE,FALSE
LM3X,OG0002689,LM3X-1.2_000189,FALSE,FALSE
LM3X,OG0002693,LM3X-1.2_000919,FALSE,FALSE
LM3X,OG0002704,LM3X-1.2_002489,FALSE,FALSE
LM3X,OG0002705,LM3X-1.2_002490,FALSE,FALSE
LM3X,OG0002750,LM3X-1.2_000355,FALSE,FALSE
LM3X,OG0002757,LM3X-1.2_002387,FALSE,FALSE
LM3X,OG0002759,LM3X-1.2_000897,FALSE,FALSE
LM3X,OG0002811,LM3X-1.2_001925,FALSE,FALSE
LM3X,OG0002830,LM3X-1.2_002808,FALSE,FALSE
LM3X,OG0002831,LM3X-1.2_002809,FALSE,FALSE
LM3X,OG0002872,LM3X-1.2_001888,FALSE,FALSE
LM3X,OG0002896,LM3X-1.2_001903,FALSE,FALSE
LM3X,OG0002915,LM3X-1.2_000590,FALSE,FALSE
LM3X,OG0002965,LM3X-1.2_003425,FALSE,FALSE
LM3X,OG0002971,LM3X-1.2_001932,TRUE,FALSE
LM3X,OG0002972,LM3X-1.2_001924,TRUE,FALSE
LM3X,OG0002973,LM3X-1.2_001923,TRUE,FALSE
LM3X,OG0002975,LM3X-1.2_002388,FALSE,FALSE
LM3X,OG0002982,LM3X-1.2_000270,FALSE,FALSE
LM3X,OG0003002,LM3X-1.2_000520,FALSE,FALSE
LM3X,OG0003032,LM3X-1.2_002724,FALSE,FALSE
LM3X,OG0003089,LM3X-1.2_001871,FALSE,FALSE
LM3X,OG0003104,LM3X-1.2_001472,FALSE,FALSE
LM3X,OG0003117,LM3X-1.2_002617,FALSE,FALSE
LM3X,OG0003159,LM3X-1.2_001644,FALSE,FALSE
LM3X,OG0003161,LM3X-1.2_001894,FALSE,FALSE
LM3X,OG0003179,LM3X-1.2_000500,FALSE,FALSE
LM3X,OG0003182,LM3X-1.2_001882,FALSE,FALSE
LM3X,OG0003184,LM3X-1.2_000905,FALSE,FALSE
LM3X,OG0003197,LM3X-1.2_002599,FALSE,FALSE
LM3X,OG0003211,LM3X-1.2_002616,FALSE,FALSE
LM3X,OG0003273,LM3X-1.2_001886,FALSE,FALSE
LM3X,OG0003274,LM3X-1.2_001890,FALSE,FALSE
LM3X,OG0003275,LM3X-1.2_001891,FALSE,FALSE
LM3X,OG0003289,LM3X-1.2_000281,FALSE,FALSE
LM3X,OG0003292,LM3X-1.2_001488,FALSE,FALSE
LM3X,OG0003293,LM3X-1.2_001487,FALSE,FALSE
LM3X,OG0003303,LM3X-1.2_001221,FALSE,FALSE
LM3X,OG0003305,LM3X-1.2_001473,FALSE,FALSE
LM3X,OG0003305,LM3X-1.2_001653,FALSE,FALSE
LM3X,OG0003306,LM3X-1.2_001480,FALSE,FALSE
LM3X,OG0003307,LM3X-1.2_001481,FALSE,FALSE
LM3X,OG0003308,LM3X-1.2_001731,FALSE,FALSE
LM3X,OG0003312,LM3X-1.2_002491,FALSE,FALSE
LM3X,OG0003326,LM3X-1.2_001947,FALSE,FALSE
LM3X,OG0003390,LM3X-1.2_003358,FALSE,FALSE
LM3X,OG0003395,LM3X-1.2_001872,FALSE,FALSE
LM3X,OG0003398,LM3X-1.2_000798,FALSE,FALSE
LM3X,OG0003399,LM3X-1.2_000904,FALSE,FALSE
LM3X,OG0003411,LM3X-1.2_002025,FALSE,FALSE
LM3X,OG0003417,LM3X-1.2_001047,FALSE,FALSE
LM3X,OG0003418,LM3X-1.2_001223,FALSE,FALSE
LM3X,OG0003504,LM3X-1.2_001476,FALSE,FALSE
LM3X,OG0003510,LM3X-1.2_000282,FALSE,FALSE
LM3X,OG0003515,LM3X-1.2_001489,FALSE,FALSE
LM3X,OG0003516,LM3X-1.2_001880,FALSE,FALSE
LM3X,OG0003517,LM3X-1.2_001878,FALSE,FALSE
LM3X,OG0003518,LM3X-1.2_001869,FALSE,FALSE
LM3X,OG0003521,LM3X-1.2_001074,FALSE,FALSE
LM3X,OG0003524,LM3X-1.2_001862,FALSE,FALSE
LM3X,OG0003538,LM3X-1.2_002305,FALSE,FALSE
LM3X,OG0003541,LM3X-1.2_000655,FALSE,FALSE
LM3X,OG0003564,LM3X-1.2_001861,FALSE,FALSE
LM3X,OG0003564,LM3X-1.2_001884,FALSE,FALSE
LM3X,OG0003656,LM3X-1.2_001079,FALSE,FALSE
LM3X,OG0003657,LM3X-1.2_001080,FALSE,FALSE
LM3X,OG0003673,LM3X-1.2_001484,FALSE,FALSE
LM3X,OG0003687,LM3X-1.2_002852,FALSE,FALSE
LM3X,OG0003689,LM3X-1.2_001244,FALSE,FALSE
LM3X,OG0003697,LM3X-1.2_001048,FALSE,FALSE
LM3X,OG0003698,LM3X-1.2_001049,FALSE,FALSE
LM3X,OG0003699,LM3X-1.2_001050,FALSE,FALSE
LM3X,OG0003709,LM3X-1.2_001607,FALSE,FALSE
LM3X,OG0003711,LM3X-1.2_002636,FALSE,FALSE
LM3X,OG0003840,LM3X-1.2_001359,FALSE,FALSE
LM3X,OG0003859,LM3X-1.2_001059,FALSE,FALSE
LM3X,OG0004013,LM3X-1.2_001253,FALSE,FALSE
LM3X,OG0004023,LM3X-1.2_002792,FALSE,FALSE
LM3X,OG0004202,LM3X-1.2_001361,FALSE,FALSE
LM3X,OG0004211,LM3X-1.2_002789,FALSE,FALSE
LM3X,OG0004212,LM3X-1.2_002793,FALSE,FALSE
LM3X,OG0004243,LM3X-1.2_001479,FALSE,FALSE
LM3X,OG0004450,LM3X-1.2_000428,FALSE,FALSE
LM3X,OG0004460,LM3X-1.2_001173,FALSE,FALSE
LM3X,OG0004461,LM3X-1.2_000965,FALSE,FALSE
LM3X,OG0004463,LM3X-1.2_002638,FALSE,FALSE
LM3X,OG0004464,LM3X-1.2_002803,FALSE,FALSE
LM3X,OG0004465,LM3X-1.2_002798,FALSE,FALSE
LM3X,OG0004467,LM3X-1.2_001404,FALSE,FALSE
LM3X,OG0004468,LM3X-1.2_001478,FALSE,FALSE
LM3X,OG0004472,LM3X-1.2_000606,FALSE,FALSE
LM3X,OG0004473,LM3X-1.2_000605,FALSE,FALSE
LM3X,OG0004474,LM3X-1.2_001986,FALSE,FALSE
LM3X,OG0004476,LM3X-1.2_002047,FALSE,FALSE
LM3X,OG0004477,LM3X-1.2_002049,FALSE,FALSE
LM3X,OG0004487,LM3X-1.2_000521,FALSE,FALSE
LM3X,OG0004489,LM3X-1.2_000548,FALSE,FALSE
LM3X,OG0004490,LM3X-1.2_000550,FALSE,FALSE
LM3X,OG0004509,LM3X-1.2_001620,FALSE,FALSE
LM3X,OG0004512,LM3X-1.2_001909,FALSE,FALSE
LM3X,OG0004513,LM3X-1.2_001915,FALSE,FALSE
LM3X,OG0004515,LM3X-1.2_002132,FALSE,FALSE
LM3X,OG0004523,LM3X-1.2_003597,FALSE,FALSE
LM3X,OG0004524,LM3X-1.2_003598,FALSE,FALSE
LMB2,OG0000100,LMB2-1.2_001858,FALSE,FALSE
LMB2,OG0000108,LMB2-1.2_001530,FALSE,FALSE
LMB2,OG0000173,LMB2-1.2_002080,FALSE,FALSE
LMB2,OG0000173,LMB2-1.2_002086,FALSE,FALSE
LMB2,OG0000197,LMB2-1.2_002061,FALSE,FALSE
LMB2,OG0000344,LMB2-1.2_002027,FALSE,FALSE
LMB2,OG0000344,LMB2-1.2_002040,FALSE,FALSE
LMB2,OG0000359,LMB2-1.2_002726,FALSE,FALSE
LMB2,OG0000359,LMB2-1.2_003701,FALSE,FALSE
LMB2,OG0000609,LMB2-1.2_002218,FALSE,FALSE
LMB2,OG0001122,LMB2-1.2_000623,FALSE,FALSE
LMB2,OG0001624,LMB2-1.2_000766,FALSE,FALSE
LMB2,OG0001626,LMB2-1.2_002026,FALSE,FALSE
LMB2,OG0001681,LMB2-1.2_002048,FALSE,FALSE
LMB2,OG0001787,LMB2-1.2_002079,TRUE,FALSE
LMB2,OG0001787,LMB2-1.2_002088,TRUE,FALSE
LMB2,OG0001839,LMB2-1.2_001957,FALSE,FALSE
LMB2,OG0001860,LMB2-1.2_001370,FALSE,FALSE
LMB2,OG0001904,LMB2-1.2_003622,FALSE,FALSE
LMB2,OG0001923,LMB2-1.2_002202,FALSE,FALSE
LMB2,OG0001961,LMB2-1.2_002946,FALSE,FALSE
LMB2,OG0001981,LMB2-1.2_002034,FALSE,FALSE
LMB2,OG0002028,LMB2-1.2_002033,FALSE,FALSE
LMB2,OG0002086,LMB2-1.2_002085,FALSE,FALSE
LMB2,OG0002091,LMB2-1.2_001795,FALSE,FALSE
LMB2,OG0002112,LMB2-1.2_000100,FALSE,FALSE
LMB2,OG0002149,LMB2-1.2_002089,TRUE,FALSE
LMB2,OG0002151,LMB2-1.2_001826,FALSE,FALSE
LMB2,OG0002152,LMB2-1.2_000828,FALSE,FALSE
LMB2,OG0002159,LMB2-1.2_002688,FALSE,FALSE
LMB2,OG0002173,LMB2-1.2_003644,FALSE,FALSE
LMB2,OG0002174,LMB2-1.2_003678,FALSE,FALSE
LMB2,OG0002176,LMB2-1.2_000398,FALSE,FALSE
LMB2,OG0002178,LMB2-1.2_003195,FALSE,FALSE
LMB2,OG0002181,LMB2-1.2_001229,FALSE,FALSE
LMB2,OG0002191,LMB2-1.2_001223,FALSE,FALSE
LMB2,OG0002193,LMB2-1.2_002205,FALSE,FALSE
LMB2,OG0002194,LMB2-1.2_001955,FALSE,FALSE
LMB2,OG0002204,LMB2-1.2_002219,FALSE,FALSE
LMB2,OG0002234,LMB2-1.2_000748,FALSE,FALSE
LMB2,OG0002286,LMB2-1.2_001330,FALSE,FALSE
LMB2,OG0002341,LMB2-1.2_001237,FALSE,FALSE
LMB2,OG0002342,LMB2-1.2_001221,FALSE,FALSE
LMB2,OG0002344,LMB2-1.2_001621,FALSE,FALSE
